Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4A51741,429405,432004,1,10/5/2017,1800,M621,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Serious,Female,35
4A60291,433265,429061,1,10/6/2017,0754,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,13
4A60359,429780,433925,1,10/4/2017,1720,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Pedal cycle,Pedestrian,Serious,Female,62
4A60514,436518,431042,2,10/6/2017,1025,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49
4A60588,435896,425845,2,10/6/2017,1910,A653,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,43
4A60790,431238,445740,1,10/6/2017,1302,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,36
4A61264,443660,436751,1,10/6/2017,1627,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24
4A61430,431379,435076,2,10/6/2017,1736,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,38
4A70163,429065,428783,2,10/7/2017,0148,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,39
4A70163,429065,428783,2,10/7/2017,0148,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,41
4A71037,432479,434930,1,10/7/2017,1410,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,8
4A81169,426483,436340,2,10/8/2017,1541,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,26
4A81188,430122,431855,1,10/8/2017,1550,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,13
4A81358,431193,433714,2,10/8/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,31
4A81358,431193,433714,2,10/8/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,20
4A81358,431193,433714,2,10/8/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,24
4A81445,430165,425118,1,10/8/2017,1749,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,22
4A81462,431448,432694,2,10/8/2017,1755,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,20
4A81462,431448,432694,2,10/8/2017,1755,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,23
4A82037,428464,431349,2,10/8/2017,2245,A643,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,28
4A90326,430699,433453,1,10/9/2017,0820,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Female,22
4A90326,430699,433453,1,10/9/2017,0820,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Driver or rider,Slight,Male,49
4A90981,430333,433899,1,10/9/2017,1418,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,48
4A91037,443671,445249,2,10/9/2017,1440,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,57
4A91037,443671,445249,2,10/9/2017,1440,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,37
4A91575,423495,437434,3,10/9/2017,1823,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,21
4A91575,423495,437434,3,10/9/2017,1823,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,28
4A91575,423495,437434,3,10/9/2017,1823,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,35
4A91683,420714,440967,2,10/9/2017,1905,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,21
4AA0316,431753,434601,1,10/10/2017,0815,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,48
4AA0658,427306,444694,2,10/10/2017,1146,A659,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,86
4AA0852,427324,437202,2,10/10/2017,1320,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,42
4AA1645,431509,435136,2,10/10/2017,1915,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,58
4AB0263,428718,435613,2,10/11/2017,0740,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,24
4AB0516,428513,433059,2,10/11/2017,1015,B6154,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Vehicle or pillion passenger,Slight,Male,31
4AB0829,425949,428285,3,10/11/2017,1313,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35
4AB0829,425949,428285,3,10/11/2017,1313,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29
4AB0829,425949,428285,3,10/11/2017,1313,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,42
4AB1052,430624,435502,2,10/11/2017,1445,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,31
4AB1205,427863,434643,2,10/12/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,40
4AB1205,427863,434643,2,10/12/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
4AB1205,427863,434643,2,10/12/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
4AB1244,425843,426826,1,10/11/2017,1600,A650,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Male,18
4AB1287,428917,435505,1,10/11/2017,1627,A660,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,20
4AB1349,430926,436050,2,10/11/2017,1650,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,75
4AB1349,430926,436050,2,10/11/2017,1650,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,27
4AB1366,427479,431308,2,10/11/2017,1630,A62,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,44
4AB1809,431424,436825,1,10/11/2017,1950,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,29
4AB1809,431424,436825,1,10/11/2017,1950,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,26
4AB1809,431424,436825,1,10/11/2017,1950,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,25
4AB1910,418759,445479,1,10/11/2017,2030,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,19
4AB1910,418759,445479,1,10/11/2017,2030,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,18
4AC1014,432940,435008,3,10/12/2017,1440,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,83
4AC1459,430862,426541,2,10/12/2017,1733,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,63
4AC1459,430862,426541,2,10/12/2017,1733,M62,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,56
4AC1778,432049,435960,2,10/12/2017,1935,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,64
4AC2056,425733,442951,1,10/12/2017,1730,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,70
4AD0118,429121,432107,2,10/13/2017,2016,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,49
4AD0338,426234,438114,2,10/13/2017,0815,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29
4AD0535,429865,434399,3,10/13/2017,1017,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30
4AD0725,431738,435483,4,10/13/2017,1201,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,44
4AD0881,430515,433453,1,10/13/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Slight,Female,46
4AD0881,430515,433453,1,10/13/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,71
4AD1432,432012,427743,4,10/13/2017,1635,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42
4AD1432,432012,427743,4,10/13/2017,1635,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,14
4AD1432,432012,427743,4,10/13/2017,1635,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30
4AD1432,432012,427743,4,10/13/2017,1635,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,26
4AD1682,429801,433924,1,10/13/2017,1820,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Serious,Female,17
4AE2525,430385,433428,1,10/14/2017,2340,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,21
4AF0991,431955,430324,2,10/15/2017,1254,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28
4AF1093,432155,434961,2,10/15/2017,1325,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,4
4AF1673,425599,434236,2,10/15/2017,1720,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,58
4AF1673,425599,434236,2,10/15/2017,1720,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,4
4AF1673,425599,434236,2,10/15/2017,1720,A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,29
4AF1719,435130,428929,2,10/15/2017,1730,A639,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,47
4AF1781,425133,433916,2,10/15/2017,1804,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,34
4AF2142,427612,434517,2,10/15/2017,2019,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,60
4AF2142,427612,434517,2,10/15/2017,2019,A65,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,32
4AG0412,427368,433509,2,10/16/2017,0710,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,27
4AG0466,434923,437705,1,10/16/2017,0935,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Slight,Male,48
4AG1082,426078,435590,1,10/15/2017,1720,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,19
4AG1420,430561,431421,3,10/16/2017,1632,M621,Dry,Daylight: Street lights present,Fine with high winds,Car,Driver or rider,Slight,Female,57
4AG1420,430561,431421,3,10/16/2017,1632,M621,Dry,Daylight: Street lights present,Fine with high winds,Car,Driver or rider,Slight,Male,26
4AG1438,431102,437780,1,10/16/2017,1835,U,Dry,Darkness: Street lighting unknown,Fine with high winds,Pedal cycleCar,Pedestrian,Slight,Male,3
4AG1530,429883,434293,1,10/16/2017,1700,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Pedestrian,Slight,Female,29
4AG1900,426177,439070,1,10/16/2017,1936,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,19
4AG2003,434654,436671,1,10/16/2017,2000,U,Dry,Darkness: Street lights present and lit,Fine with high winds,Pedal cycleCar,Pedestrian,Slight,Male,48
4AG2347,427087,427689,1,10/16/2017,2240,B6123,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Fatal,Male,30
4AH0159,442822,430183,1,10/17/2017,0332,A656,Dry,Darkness: No street lighting,Fine with high winds,Car,Driver or rider,Slight,Male,18
4AH0508,429495,432909,1,10/13/2017,1310,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Slight,Male,31
4AH0557,420787,444774,2,10/17/2017,0810,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,45
4AH0847,430135,434130,2,10/17/2017,1600,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,26
4AH1623,437791,432302,3,10/17/2017,1800,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,55
4AH1623,437791,432302,3,10/17/2017,1800,M1,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,44
4AI0238,423036,434713,2,10/18/2017,0720,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,38
4AI0270,434929,440893,1,10/18/2017,0750,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54
4AI0894,426797,438039,2,10/18/2017,1255,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,24
4AI1343,437084,435267,1,10/18/2017,1438,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,12
4AI1434,440256,432798,1,10/18/2017,1440,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,14
4AJ0229,441096,449534,2,10/19/2017,0728,A1(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,30
4AJ0229,441096,449534,2,10/19/2017,0728,A1(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,42
4AJ0261,430094,431360,2,10/19/2017,0643,A643,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,50
4AJ0344,421632,440845,2,10/19/2017,0800,A658,Wet/Damp,Daylight: Street lights present,Fog or mist (if hazard),Motorcycle over 500cc,Driver or rider,Slight,Male,26
4AJ0605,434621,441230,2,10/19/2017,1035,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,74
4AJ0605,434621,441230,2,10/19/2017,1035,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,50
4AJ0605,434621,441230,2,10/19/2017,1035,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,73
4AJ0680,427827,436515,2,10/19/2017,1126,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,24
4AJ0846,431967,431240,2,10/19/2017,1258,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24
4AJ0854,437849,440432,3,10/19/2017,1304,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,28
4AJ0854,437849,440432,3,10/19/2017,1304,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,50
4AJ1541,418975,442004,1,10/19/2017,1821,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Male,80
4AJ2085,430693,432972,2,10/19/2017,2313,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,23
4AK0370,437496,431421,2,10/20/2017,0845,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Female,26
4AK0551,420587,441750,3,10/20/2017,1025,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,91
4AK0721,430052,434001,2,10/20/2017,0715,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car0,Driver or rider,Slight,Male,24
4AK0798,423265,435119,2,10/20/2017,1240,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,68
4AK0831,430842,428404,3,10/20/2017,1250,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Female,23
4AK0935,431504,435129,2,10/20/2017,1334,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35
4AK1573,434620,441231,3,10/20/2017,1756,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,28
4AL0388,436106,435589,2,10/21/2017,0517,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,60
4AL0407,419598,438465,1,10/21/2017,0620,A658,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Male,18
4AL0450,430978,432093,2,10/21/2017,0841,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,53
4AL0450,430978,432093,2,10/21/2017,0841,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,60
4AL0700,429037,433530,2,10/21/2017,1100,A58(M),Dry,Daylight: Street lights present,Fine with high winds,Car,Driver or rider,Slight,Male,33
4AL1376,428828,435232,2,10/21/2017,1612,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Serious,Male,18
4AL1938,432043,434960,2,10/21/2017,2045,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,33
4AL2194,436099,435603,2,10/21/2017,2322,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,18
4AM0053,430800,435343,2,10/22/2017,0038,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Female,72
4AM0238,429406,434934,1,10/22/2017,0319,A660,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,18
4AN0297,430897,438633,2,10/23/2017,0800,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,30
4AN0349,440221,448427,1,10/23/2017,0849,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,69
4AN0686,431928,425505,4,10/23/2017,1205,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,42
4AN0686,431928,425505,4,10/23/2017,1205,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,70
4AN1107,430286,433399,2,10/23/2017,1505,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23
4AN1402,429343,434981,1,10/23/2017,1655,A660,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,51
4AN1744,430090,435422,2,10/23/2017,1850,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,28
4AN1744,430090,435422,2,10/23/2017,1850,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,1
4AN1870,429749,435279,1,10/23/2017,1940,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,56
4AO0244,420081,442987,2,10/24/2017,0630,U,Wet/Damp,Darkness: No street lighting,Raining with high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,59
4AO1404,420403,434127,3,10/24/2017,1735,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Female,33
4AO1753,431872,435946,2,10/24/2017,1940,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,28
4AO1761,433302,435544,3,10/24/2017,2051,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,17
4AP0275,428546,426414,3,10/25/2017,0708,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,28
4AP0275,428546,426414,3,10/25/2017,0708,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,28
4AP0275,428546,426414,3,10/25/2017,0708,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,28
4AP0439,436365,436295,2,10/25/2017,0815,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Serious,Female,63
4AP0445,430233,431187,1,10/25/2017,0940,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,6
4AP0788,426230,433053,2,10/25/2017,1346,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Serious,Male,29
4AP1715,429389,439408,2,10/25/2017,1850,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,25
4AR0203,436842,445541,2,10/29/2017,1605,A659,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
4AR0203,436842,445541,2,10/29/2017,1605,A659,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,12
4AR0252,432908,425966,2,10/27/2017,0633,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,54
4AR0404,429369,433755,2,10/27/2017,0900,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38
4AR0406,423282,435137,2,10/27/2017,0900,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,25
4AR0496,429369,433755,3,10/27/2017,1005,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,45
4AR0850,428046,432828,2,10/27/2017,1140,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,56
4AR1029,422229,446009,2,10/27/2017,1459,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,58
4AR1126,421828,436333,5,10/27/2017,1534,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26
4AR1126,421828,436333,5,10/27/2017,1534,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,45
4AS0891,429600,432562,3,10/28/2017,1225,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,36
4AS2047,432549,434326,2,10/28/2017,2158,U,Dry,Darkness: Street lights present and lit,Fine with high winds,Pedal cycle,Driver or rider,Slight,Male,21
4AS2206,444738,433111,2,10/28/2017,2312,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,30
4AS2206,444738,433111,2,10/28/2017,2312,M1,Dry,Darkness: No street lighting,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Driver or rider,Slight,Male,37
4AT0099,435527,433859,2,10/29/2017,0035,C,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,34
4AT0463,435464,437288,1,10/29/2017,0350,A6120,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Serious,Female,39
4AT0490,422116,434424,1,10/29/2017,0419,U,Dry,Darkness: Street lights present and lit,Fine with high winds,Car,Vehicle or pillion passenger,Slight,Male,17
4AT0572,419722,441465,1,10/29/2017,0600,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,21
4AT1826,433112,434025,2,10/29/2017,1205,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49
4AT1826,433112,434025,2,10/29/2017,1205,A64,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,71
4AT1883,429797,433793,2,10/29/2017,1929,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,25
4AU0214,433845,433529,2,10/30/2017,0650,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,22
4AU1385,441011,447929,2,10/30/2017,1655,A168,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,37
4AU1864,423436,437656,2,10/30/2017,1855,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,26
4AV0202,426829,438066,2,10/31/2017,0645,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,51
4AV1025,424184,438894,3,10/31/2017,1435,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,76
4AV1821,429429,435417,2,10/31/2017,1850,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,20
4AV2185,432855,435969,1,10/31/2017,2030,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Pedestrian,Slight,Male,31
4AV2586,428716,430832,2,10/31/2017,2300,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,33
4B10555,441312,431124,1,11/1/2017,1000,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,77
4B10586,429801,433923,1,11/1/2017,1014,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Pedestrian,Slight,Female,69
4B11744,428730,435030,2,11/1/2017,1830,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19
4B11759,433582,429746,3,11/1/2017,1845,A639,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,45
4B12244,430360,433917,1,11/1/2017,2155,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,50
